National project number,LRMA Name,New LRMA Name
NOC500E/000A/076A,,Newcastle City Council
NOC500E/000A/090A,,Gateshead Metropolitan Borough Council
NWC002F/001A/001A,,Cumberland Council
NWC002F/001A/004A,,Cumberland Council
NWC002F/001A/005A,,Cumberland Council
NWC004F/000A/004A,,Westmorland and Furness Council
NWC004F/000A/006A,,Westmorland and Furness Council
NWC004F/000A/007A,,Westmorland and Furness Council
NWC004F/000A/009A,,Westmorland and Furness Council
NWC004F/000A/010A,,Cumberland Council
NWC004F/000A/011A,,Cumberland Council
NWC004F/000A/013A,,Westmorland and Furness Council
NWC004F/000A/014A,,Westmorland and Furness Council
NWC006F/000A/002A,,Westmorland and Furness Council
NWC006F/000A/003A,,PSO Cumbria
NWC008F/000A/097A,,Wirral Borough Council
NWC010F/000A/002A,,Cumberland Council
NWC010F/000A/003A,,Westmorland and Furness Council
NWC010F/000A/004A,,Cumberland Council
NWC501E/000A/038A,,Cumberland Council
NWC501E/000A/039A,,Cumberland Council
NWC501E/000A/040A,,Westmorland and Furness Council
NWC501E/000A/042A,,Cumberland Council
NWC501E/000A/057A,,Cumberland Council
NWC501E/000A/096A,,Cumberland Council
NWC501E/000A/097A,,Westmorland and Furness Council
NWC501E/000A/098A,,Cumberland Council
NWC501E/000A/099A,,Westmorland and Furness Council
NWC501E/000A/100A,,Westmorland and Furness Council
NWC501E/000A/101A,,Westmorland and Furness Council
NWC501E/000A/102A,,Westmorland and Furness Council
NWC501E/000A/103A,,Cumberland Council
NWC501E/000A/104A,,Westmorland and Furness Council
NWC501E/000A/105A,,Cumberland Council
NWC501E/000A/106A,,Westmorland and Furness Council
NWC501E/000A/107A,,Westmorland and Furness Council
NWC501E/000A/108A,,Westmorland and Furness Council
NWC501E/000A/109A,,Westmorland and Furness Council
NWC501E/000A/110A,,Westmorland and Furness Council
NWC501E/000A/228A,,Westmorland and Furness Council
NWC501E/000A/229A,,Westmorland and Furness Council
NWC501E/000A/230A,,Westmorland and Furness Council
NWC501E/000A/231A,,Westmorland and Furness Council
NWC501E/000A/232A,,Westmorland and Furness Council
NWC501E/000A/233A,,Westmorland and Furness Council
NWC501E/000A/247A,,Westmorland and Furness Council
NWC501E/000A/382A,,Westmorland and Furness Council
NWC501E/000A/439A,,Cumberland Council
NWC501E/000A/440A,,Cumberland Council
NWC501E/000A/441A,,Cumberland Council
NWC501E/000A/442A,,Cumberland Council
NWC501E/000A/443A,,Cumberland Council
NWC501E/000A/476A,,Westmorland and Furness Council
NWC501E/000A/477A,,Westmorland and Furness Council
NWC501E/000A/478A,,Westmorland and Furness Council
NWC501E/000A/480A,,Cumberland Council
NWC501E/000A/481A,,Cumberland Council
NWC501E/000A/482A,,Cumberland Council
NWC501E/000A/483A,,Cumberland Council
NWC501E/000A/485A,,Cumberland Council
NWC501E/000A/489A,,Cumberland Council
NWC501E/000A/491A,,Cumberland Council
NWC501E/000A/497A,,Cumberland Council
NWC501E/000A/500A,,Cumberland Council
NWC501E/000A/503A,,Cumberland Council
NWC501E/000A/504A,,Cumberland Council
NWC501E/000A/505A,,Westmorland and Furness Council
NWC501E/000A/506A,,Cumberland Council
NWC501E/000A/507A,,Cumberland Council
NWC501E/000A/508A,,Cumberland Council
NWC501E/000A/509A,,Cumberland Council
NWC501E/000A/510A,,Cumberland Council
NWC501E/000A/511A,,Westmorland and Furness Council
NWC501E/000A/512A,,Westmorland and Furness Council
NWC501E/000A/513A,,Westmorland and Furness Council
NWC501E/000A/514A,,Westmorland and Furness Council
NWC501E/000A/520A,,Westmorland and Furness Council
NWC501E/000A/522A,,Cumberland Council
NWC501E/000A/523A,,Cumberland Council
NWC501E/000A/524A,,Cumberland Council
NWC501E/000A/526A,,Cumberland Council
NWC501E/000A/528A,,Cumberland Council
NWC501E/000A/529A,,Cumberland Council
NWC501E/000A/530A,,Cumberland Council
NWC501E/000A/531A,,Cumberland Council
NWC501E/000A/533A,,Cumberland Council
NWC501E/000A/535A,,Cumberland Council
NWC501E/000A/536A,,Westmorland and Furness Council
NWC501E/000A/537A,,Westmorland and Furness Council
NWC501E/000A/539A,,Westmorland and Furness Council
NWC501E/000A/540A,,Westmorland and Furness Council
NWC501E/000A/542A,,Westmorland and Furness Council
NWC501E/000A/543A,,Westmorland and Furness Council
NWC501E/000A/545A,,Westmorland and Furness Council
NWC501E/000A/546A,,Westmorland and Furness Council
NWC501E/000A/547A,,Westmorland and Furness Council
NWC501E/000A/548A,,Westmorland and Furness Council
NWC501E/000A/550A,,Westmorland and Furness Council
NWC501E/000A/556A,,Westmorland and Furness Council
NWC501E/000A/557A,,Westmorland and Furness Council
NWC501E/000A/558A,,Westmorland and Furness Council
NWC501E/000A/559A,,Westmorland and Furness Council
NWC501E/000A/560A,,Westmorland and Furness Council
NWC501E/000A/561A,,Westmorland and Furness Council
NWC501E/000A/562A,,Westmorland and Furness Council
NWC501E/000A/563A,,Westmorland and Furness Council
NWC501E/000A/564A,,Cumberland Council
NWC501E/000A/570A,,Westmorland and Furness Council
NWC501E/000A/571A,,Westmorland and Furness Council
NWC501E/000A/577A,,Cumberland Council
NWC501E/000A/578A,,Cumberland Council
NWC501E/000A/590A,,Cumberland Council
NWC501E/000A/591A,,Cumberland Council
NWC501E/000A/592A,,Westmorland and Furness Council
NWC501E/000A/594A,,Westmorland and Furness Council
NWC501E/000A/595A,,Westmorland and Furness Council
NWC501E/000A/596A,,Westmorland and Furness Council
NWC501E/000A/597A,,Westmorland and Furness Council
NWC501E/000A/598A,,Cumberland Council
NWC501E/000A/599A,,Cumberland Council
NWC501E/000A/600A,,Cumberland Council
NWC501E/000A/603A,,Westmorland and Furness Council
NWC501E/000A/604A,,Cumberland Council
NWC501E/000A/605A,,Cumberland Council
NWC501E/000A/607A,,Cumberland Council
NWC501E/000A/614A,,Cumberland Council
NWC501E/000A/615A,,Cumberland Council
NWC501E/000A/627A,,Cumberland Council
NWC501E/000A/632A,,Cumberland Council
NWC501E/000A/633A,,Westmorland and Furness Council
NWC501E/000A/634A,,Cumberland Council
NWC501E/000A/635A,,Cumberland Council
NWC501E/000A/636A,,Cumberland Council
NWC501E/000A/637A,,Cumberland Council
NWC501E/000A/638A,,Westmorland and Furness Council
NWS003C/000A/003C,,Westmorland and Furness Council
NWS004C/000A/009A,,Cumberland Council
NWS004C/000A/011A,,Cumberland Council
NWS004C/000A/014A,,Cumberland Council
NWS004C/000A/015A,,Cumberland Council
NWS004C/000A/016A,,Cumberland Council
NWS004C/000A/017A,,Cumberland Council
NWS004C/000A/018A,,Cumberland Council
SOC500E/000A/133A,,London Borough of Bexley
SWS006F/000A/064A,,Devon County Council
THO001E/024A/021A,,London Borough of Lewisham
YOC500E/000A/096A,,Wakefield Metropolitan District
